,id,text,dominant_topic
155,468,"Why are deaths from #CervicalCancer increasing so rapidly AFTER the introduction of #Gardasil? Is this not potentially a safety signal that needs investigation?""""naturalblaze.com/2015/06/.VbÖ",0
156,471,"The blame game. "" Gardasil HPV Class Action Lawsuit Updates - 2023 #Merck the makers of #Gardasil plan to defend themselves in court by saying itís the doctorís responsibility to warn the patients of potential side effects.  ""millerandzois.com/products-lÖ",2
157,481,"Remember, Dr. #JulieGerberding, former director of the Centers for Disease Control and Prevention (2002-2009), was named president of Merck & Co Incís vaccine division! #Gardasil approved in 2006!",0
158,490,#Gardasil #Merck #Danger #EffetsSecondairesVaccins,7
159,501,"POTS is an autonomic nervous system disorder characterized by an excessive increase in heart rate when a person stands up.""#Gardasil #Lawsuit #AutoImmuneDisorder""bit.ly/3VCDtKh",4
160,502,"Interviews with five study participants and more than 2,300 pages of documents obtained through freedom-of-information requests from hospitals and health authorities suggest inadequacies built into #Merckís major clinical tests of #Gardasil.",5
161,503,"Reminder: ZERO evidence  #Cervarix / #Gardasil will ever prevent a """"single case of cancer.",9
162,504,"Did you know that polysorbates in certain #vaccines and drugs can possibly be implicated in severe reactions?""ncbi.nlm.nih.gov/pmc/articleÖ Sign up: physiciansforinformedconsentÖ ""#1stDoNoHarm #Vaccination #InformedConsent #HPV #HPVvaccine #Gardasil #CervicalCancer #Science #Statistics",7
163,512,"Merckís call to lower the age for Gardasil HPV vaccine 'just another marketing ploy,' critic says ""tinyurl.com/2ohqzwwd ""#age #children #vaccine #call #Critic #Gardasil #health #HPV #marketing #Mercks #PLOY #vaccination",6
164,523,"?? Flyer Parents En ColËre ""Lien du pdf :t.me/stock_infos_PEC/957 #Jarnac #macron #Gardasil""#ParentsEnColere #PEC #ProtegeonsNosEnfants",4
165,528,"@AssociationPEC @MicheleRivasi @v_joron @noel_sylviane @f_philippot @PavanVincent @JeanYvesCAPO """"#Gardasil",0
166,531,Do read the thread on #hpv vaccine #gardasil injuries,1
167,532,"2/2 Lately I have heard about pregnant women having being convinced to have these shots too - utter MADNESS!"" ""Watch this and know that many have died, been paralysed and have had their young lives destroyed. #Gardasil",6
168,534,"#Gardasilís Long Shadow of #Autoimmunity Confirmed ó Again ó by New #Study ""#autoimmune ""childrenshealthdefense.org/dÖ",5
169,535,"#CervicalCancers Caused by #HPV ... are Unfortunate"" precisionvaccinations.com/20Ö ""#vaccine #women #girls #gardasil #MUSCHollingsCancerCenter",3
170,538,"1/2 We were the ëluckyí ones with the Cervarix vaccine. If you can call a Hashimotos diagnosis ëluckyí""If you have a daughter and are being pressured into having her HPV vaccinated ~ DONíT DO IT! #Gardasil ""bit.ly/3LbEtml",2
171,539,"All #vaccines harm, #gardasil causes infertility and other issues. """"Do not go by vaccine propaganda, and don't forget history",0
172,543,"NEW STUDY: Girls and young women experiencing complications from Merck's #Gardasil #HPV vaccine show symptoms + biological markers of autoimmune conditions via The Journal of Autoimmunity"" ""childrenshealthdefense.org/dÖ",5
173,544,"An excellent factual book, a must read for any parent considering the #Gardasil vaccine.",1
174,545,#CervicalScreening #CervicalCheck #HPV awareness & testing. #Gardasil #Immunisation #ProtectionAgainstCancer,0
175,548,"NEW STUDY: Girls and young women experiencing complications from Merck's #Gardasil #HPV vaccine show symptoms + biological markers of autoimmune conditions via The Journal of Autoimmunity!"" Samme vaccine er pÂ det danske b¯rnevaccinationsprogram !!! ""childrenshealthdefense.org/dÖ",5
176,554,"Did you know the HPV vaccine can protect you against several types of cancers? ?? The vaccine is available free through general practices for people aged 9ñ26 and is the easiest way to protect yourself from these cancers. "" ""#hpv #hpvvaccine #hpvawareness #hpvvirus #gardasil",6
177,558,"#Papillomavirus #facts #factsonly ""#FactCheck #Gardasil ??""#VaccineSideEffects",3
178,561,"Did you know Gardasil achieved FDA approval in just six months? One of the principal investigators of the Gardasil clinical trials (the human testing that precedes FDA approval) said the process ìwent too fast.î ""#Gardasil #GardasilLawsuit""bit.ly/3e5OmUy",6
179,562,A friend of mine whose daughter has #CRPS (she has never had the Covid shot or Gardasil) finished a few weeks of treatment at @SperoClinic in Fayetteville AR a year ago. My friend said some ppl were there getting treatment (successful treatment) for #Gardasil injuries.,1
180,565,A hero to many Australians and others around the world is retiring at a time when his great legacy is at the centre of vaccine hysteria in US #Gardasil #IanFrazer,3
181,566,"Woman Injured by #Gardasil ?? Shares How COVID Shots Injured Her Mother and Ended the Life of Her Grandmother""""childrenshealthdefense.org/dÖ",1
182,567,"A new #systematicreview shows that the #HPV #vaccine is effective in preventing infections and #Cancers  ó of course, none of us are surprised buff.ly/3G4nCiy #VaccinesWork #Gardasil #StopCancer",5
183,569,"childrenshealthdefense.org/dÖ """"#gardasil #vaccineinjury",1
184,570,25 Reasons to Avoid the #Gardasil Vaccine childrenshealthdefense.org/nÖ @ChildrensHD @children_canada,4
185,572,"Do you know anyone who experienced chronic pain, fatigue and dyscognition after HPV #vaccination?"" ncbi.nlm.nih.gov/pubmed/3265Ö Want to stay informed? physiciansforinformedconsentÖ ""#1stDoNoHarm #Vaccines #InformedConsent #HPV #HPVvaccine #Gardasil #CervicalCancer #Science #Statistics",7
186,573,"October is dysautonomia awareness month. Dysautonomia is a common condition that over 70 million people across the world suffer from in one form or another.""#dysautonomia #autoimmune #gardasil""bit.ly/3MaZaND",2
187,576,#MerckCo World-Wide Sales for #GARDASIL was 2294m USD in Q3 2022 (Up 37%) 1stoncology.com/blog/3q22-meÖ,0
188,580,"It only makes sense that all OBGYN's that push around smoke plume from vaporized HPV should be vaccinated.  It also makes sense that all OBGYN's that push vaccination should be vaporized.""""#medtwitter #gyntwitter #obgyntwitter #gynfluencer #hpv #Vaccination #Gardasil #Condyloma",2
189,581,"Happened to my child. #Gardasil unleashed Lyme, babesia, EBV, mycoplasma ==> years of POTS, fatigue, depression. Still suffers.",4
190,585,Good news for Gardasil plaintiffs! A federal judge overseeing the Gardasil MDL (multidistrict litigation) appointed 4 lawyers to serve on the litigation leadership for plaintiffs who allege the #Gardasil #HPV #vaccine caused them severe side effects. prn.to/3rSaBQQ,8
191,586,"Dysautonomia is a term for many medical ailments that cause the autonomic nervous system to malfunction. The ANS controls the ìautomaticî functions that are not consciously on your mindóblood pressure, body temperature, and others. #Gardasil #Dysautonomia""""bit.ly/3e5OmUy",3
192,587,"The Gardasil vaccine, made by Merck & Co., was approved by the FDA in 2006 to prevent infection from some types of HPV. Since then, many adolescents and adults have reported disabling side effects after getting the vaccine. #Gardasil #pots #HPV #lawyer""""bit.ly/3e5OmUy",2
193,588,"Rochelle was Injured by Gardasil Vaccine."" COVID Shots injured her mother and ended the life of her grandmother.#Covid #COVIDvaccines #Gardasil vaccine #Moderna #pfizer #internationalnews #hotnews ""gettr.com/post/p1vl6bp2757",1
194,589,"First Wrongful Death Gardasil Lawsuit Filed Against Merck - 13-Year-Old Noah Foleyís Untimely Death After Gardasil - Learn more:  baumhedlundlaw.com/prescriptÖ""""#Gardasil #HPV #vaccine #Merck #wrongfuldeath #gardasilinjured",8
195,591,"First ""#Gardasil Wrongful Death Lawsuit Filed AGAINST #Merck Alleging #HPV Vaccine CAUSED 13-Year-Oldís Death- #RFKJr is Really KNOCKING it Out of the Park trying to DEFEND Americans! ""childrenshealthdefense.org/dÖ",8
196,592,25 Reasons to Avoid #Gardasil childrenshealthdefense.org/nÖ,4
197,593,25 Reasons to Avoid #Gardasil childrenshealthdefense.org/nÖ,4
198,594,"Boy's death blamed on a form of #encephalitis caused by #HPV #vaccine ó science shows no link, but parents sue anyway.  buff.ly/3CAHsQu #Gardasil #VaccinesWork #VaccineSideEffects",7
199,595,News Alert: #Gardasil was a #vaccine promoted by Pharmaceutical #Merck for #young people to prevent against HPV #Litigation ensued as multiple #irreversible #injuries were reported. The injury cases are increasing as knowledge is shared ?@JCCFCanada? piped.video/OkWCf0xJW0c,6
200,596,#vaccineinjuries  #vaccinedeaths #Vaccine #Gardasil lawyers are reviewing Gardasil vaccine lawsuits in all 50 states for victims who have suffered side effects from the Gardasil HPV vaccine. Deaths and injuries have been linked to this vaccine  millerandzois.com/gardasil-hÖ,8
201,598,"October is Dysautonomia Awareness Month. Did you know that Gardasil lawsuits allege Merck conceals the fact that Gardasil induces & increases the risk of autoimmune diseases, including dysautonomia? Find out more here:""#Gardasil #hpv #dysautonomia #lawsuit""bit.ly/3MaZaND",0
202,599,"Did you know that most pre-licensure trials for #HPVvaccine compared the vaccine with an active #vaccine rather than with an inert placebo? ""ncbi.nlm.nih.gov/pubmed/2820Ölink.springer.com/article/10Ö Join us:physiciansforinformedconsentÖ ""#InformedConsent #HPV #Gardasil #CervicalCancer",7
203,600,"Boy's death blamed on an autoimmune form of #encephalitis caused by #HPV #vaccine ó science shows no link, but parents sue anyway.  buff.ly/3CAHsQu #Gardasil",7
204,601,"Medical community has a long history of using humanity as their experimental guinea pigs."" Just look at the harm done over the last 2.5 years by the institution and itís collusion with Big Pharma. #Tuskegee#Oxycodone#Thalidomide#PIPSiliconeImplants#Gardasil""etc etc etc",0
205,602,@paulapenfold #Gardasil Nek minute newshub.co.nz/home/shows/201Ö,0
206,603,"I remember when girls injured from #Gardasil were told symptoms were bc if anxiety even if they fainted or dx with POTS, Yep all anxiety or fear of a needle, I guess saying it must make it true???",2
207,604,"Merck $MRK announced that it gained approval from the NMPA to expand the use of #Gardasil 9 (Human Papillomavirus (HPV) 9-valent Vaccine, Recombinant) to individuals aged 9 through 45 years old. The vaccine will help to prevent cervical cancer.",1
208,605,"Boy's death blamed on a form of #encephalitis caused by #HPV #vaccine ó science shows no link, but parents sue anyway.  buff.ly/3CAHsQu #Gardasil",7
209,606,"MSD Pharmaceuticals, a wholly-owned subsidiary of Merck Sharp & Dohme, launched Indiaís first gender neutral HPV vaccine†#Gardasil"" #TheTimesGroup #RadioMirchi #Gulmoharmaitri #MSD-India† #RehanAKhan ""#HPVvaccine",6
210,607,THIS .. it needs to be more education earlier to understand the importance of #gardasil,0
211,608,"Boy's death blamed on a form of #encephalitis caused by #HPV #vaccine ó science shows no link, but parents sue anyway.  skepticalraptor.com/skepticaÖ #Gardasil",7
212,609,"MSD Pharmaceuticals, a wholly-owned subsidiary of Merck Sharp & Dohme, launched Indiaís first gender neutral HPV vaccine†#Gardasil 9"" #TheTimesGroup #RadioMirchi #Gulmoharmaitri #MSD-India† #RehanAKhan ""#HPVvaccine",6
213,611,"????Tout a ÈtÈ dit. ""#medias #France#Mckinsey #Mckinseygate #Macron #Veran #occitanie #Toulouse #Montpellier #Herault #Beziers #Gard #nimes #perpignan #COVID #Ukraine #BillGatesBioTerrorist  #Gardasil #HPV #papillomavirusMÈdicaments sous influence??????""odysee.com/@laileastick:4/20Ö",4
214,612,"Did you know that safety concerns were expressed regarding the #HPVvaccine by Prof. Mahin Khatami, former program director at the NCI & NIH? ""ncbi.nlm.nih.gov/pmc/articleÖ Sign up to our newsletter: physiciansforinformedconsentÖ ""#InformedConsent #HPV #Gardasil #CervicalCancer #Science",7
215,614,"#MSD India MD talks about price adjustments for #Januvia, ëcategory developmentí for #Gardasil 9, #Keytrudaís rise as leading cancer therapy in India and more #biopharma #cancer #diabetes",3
216,619,We had a great pediatrician that advised us NOT to get the #Gardasil!,3
217,620,"My kidsí pediatrician tried so hard to convince me to give my kids #Gardasil - even shamed me for not doing it. Heís no longer our pediatrician. Iím thankful I watched #Vaxxed or I would not have known how bad it is. Thanks, @delbigtree ! ??",8
218,621,"Did you know inflammation of the brain & spinal cord is most often reported following flu & HPV #vaccines?"" Join PIC: physiciansforinformedconsentÖ ""#Physicians4InformedConsent #1stDoNoHarm #Vaccination #InformedConsent #HPV #HPVvaccine #Gardasil #CervicalCancer #Science #Statistics",7
219,622,"The court order allows #Gardasil #HPV #vaccine injury lawsuits to move into coordinated discovery and pretrial proceedings. """"""""These personal injury actions present common questions of fact arising from allegations that plaintiffs...developed...injuries.""""""""""""baumhedlundlaw.com/blog/2022Ö",8
220,624,"Attorney Brandon†Salter of @MBLFirm explains what you need to know on the latest emerging MDL, #Gardasil (MDL no. 3036) #MassTorts #EmergingTorts #pharmaceuticalMDL #Merck"" ""masstortnews.org/new-mdl-litÖ",0
221,625,"#Merck #HPV #vaccine #Gardasil wreaking havoc amongst women."" Reported conditions include: brain & spinal cord inflammation, encephalitis, demyelination, blood #clots in heart, lungs, & legs"" cognitive disorders, GBS, and death",5
222,626,"I got my HPV vaccine in 2019 & its then when I realised that even-though itís the only vaccine that prevents against one of the major causes of #cervicalcancer (HPV), yet it canít be accessed by many cuz of its soaring high rate.""#HPVvaccine #MedTwitter #Gardasil ""#Cervarix",3
223,628,Seriously where has everyone been? #Gardasil injuries and mysterious deaths,8
224,629,Everyone is awoke with #VAERS where were they with #Gardasil?!!!,0
225,656,#Gardasil cures nothing!,0
226,680,"Firmes possÈdÈes par #BlackRock ""#Pfizer #Moderna #AstraZeneca #merck et son #Gardasil  Voil‡, voil‡ ??#blackrock #NonALaReformeDesRetraites ""#MacronDestitution",7
227,703,Watch Wisner Baum senior partner talk about the Gardasil HPV lawsuits and alleged injuries. The science is not settled on Gardasil. bit.ly/3ZI96ns #Gardasil #HPV #hpvvaccine #gardasilreaction #gardasilinjury #gardasiladversereaction #gardasilsideffects #cervicalcancer,8
228,705,#Gardasil odysee.com/@LigneDroiteMatinÖ,0
229,738,#Gardasil !!!No way !!#Protegeo,0
230,750,Voyons comment calmer ce troll @AFPFactCheck #Gardasil #Vaccination,0
231,752,"#ProtegeonsNosEnfants ""#Jarnac #macron #boycott ""?? #Gardasil #EnfantsEnDanger",4
232,816,"?????#Warning ""#DepopulationAgenda #Bioweapon #WarAgainstHumanity ""#Gardasil #CrimesAgainsHumanity",0
233,820,"#EnfantsEnDanger #Jarnac """"#boycott #macron #Gardasil",4
234,823,"?? #macron #Gardasil #Jarnac ??""""#EnfantsEnDanger #boycott",4
235,840,"In 2014, 400 doctors had spoken out against the vaccination campaign with the ineffective and expensive #Gardasil. Yet Macron wants to have our daughters pricked, even if it means increasing the deficit of the SÈcu for nothing.",4
236,846,"?????Diane Harper mÈdecin spÈcialiste Vaccin, HPV, Papillomavirus.""Lien vers le documentaire #Gardasil  ?????Diane Harper medical specialist Vaccine, HPV, Papillomavirus.Link to the #Gardasil documentary ""@JudicialWatch @RobertKennedyJr @OANN @DailyMailUK",0
237,872,#Merck #Gardasil #LÈvothyrox #Vioxx #Wargon,7
